bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
279,263.387,0.007,321.872,0.006,40.670,0.006,265.625,0.006,Tue 09:45 PM
280,245.140,0.007,293.590,0.006,36.926,0.005,241.171,0.005,Tue 10:00 PM
281,224.427,0.006,265.172,0.005,33.233,0.005,217.050,0.005,Tue 10:15 PM
282,202.132,0.005,236.809,0.005,29.603,0.004,193.343,0.004,Tue 10:30 PM
283,179.766,0.005,209.315,0.004,26.136,0.004,170.698,0.004,Tue 10:45 PM
284,158.251,0.004,182.998,0.004,22.876,0.003,149.411,0.003,Tue 11:00 PM
285,135.602,0.004,155.980,0.003,19.624,0.003,128.170,0.003,Tue 11:15 PM
286,113.369,0.003,130.083,0.002,16.566,0.002,108.196,0.002,Tue 11:30 PM
287,94.964,0.003,108.842,0.002,14.077,0.002,91.941,0.002,Tue 11:45 PM
288,84.609,0.002,96.693,0.002,12.598,0.002,82.281,0.002,Wed 12:00 AM
289,78.330,0.002,88.750,0.002,11.456,0.002,74.820,0.002,Wed 12:15 AM
290,70.291,0.002,78.646,0.002,10.006,0.001,65.349,0.001,Wed 12:30 AM
291,62.364,0.002,69.041,0.001,8.647,0.001,56.474,0.001,Wed 12:45 AM
292,56.132,0.002,62.197,0.001,7.728,0.001,50.475,0.001,Wed 01:00 AM
293,50.951,0.001,57.454,0.001,7.177,0.001,46.875,0.001,Wed 01:15 AM
294,46.510,0.001,54.090,0.001,6.850,0.001,44.737,0.001,Wed 01:30 AM
295,43.160,0.001,52.105,0.001,6.684,0.001,43.652,0.001,Wed 01:45 AM
296,41.089,0.001,51.322,0.001,6.609,0.001,43.166,0.001,Wed 02:00 AM
297,39.665,0.001,50.934,0.001,6.575,0.001,42.942,0.001,Wed 02:15 AM
298,39.448,0.001,51.935,0.001,6.682,0.001,43.642,0.001,Wed 02:30 AM
299,41.558,0.001,55.988,0.001,7.071,0.001,46.180,0.001,Wed 02:45 AM
300,46.704,0.001,64.024,0.001,7.806,0.001,50.980,0.001,Wed 03:00 AM
301,53.549,0.001,73.313,0.001,8.601,0.001,56.174,0.001,Wed 03:15 AM
302,63.093,0.002,86.223,0.002,9.725,0.001,63.516,0.001,Wed 03:30 AM
303,77.551,0.002,107.573,0.002,11.709,0.002,76.472,0.002,Wed 03:45 AM
304,98.625,0.003,141.713,0.003,14.969,0.002,97.764,0.002,Wed 04:00 AM
